id_municipio,municipio,sigla_uf,regiao,populacao,area_km2,pib_mil_reais,vab_agropecuaria,vab_industria,vab_servicos,vab_adm_publica
1100015,Alta Floresta D'Oeste,RO,Norte,22516,7067.127,734467,311469,27845,172435,173122
1100023,Ariquemes,RO,Norte,111148,4426.571,3211294,293001,407675,1307977,782306
1100031,Cabixi,RO,Norte,5067,1314.352,238414,136659,8117,35866,46579
1100049,Cacoal,RO,Norte,86416,3793.0,2792506,341315,236801,1200654,629109
1100056,Cerejeiras,RO,Norte,16088,2783.3,743062,151690,27433,308668,123365
1100064,Colorado do Oeste,RO,Norte,15213,1451.06,424846,123524,28827,124601,114881
1100072,Corumbiara,RO,Norte,7052,3060.321,396740,260728,14014,45392,60535
1100080,Costa Marques,RO,Norte,19255,4987.177,316672,116783,6683,53392,128057
1100098,Espigão D'Oeste,RO,Norte,33009,4518.038,773372,202434,54682,221162,217511
1100106,Guajará-Mirim,RO,Norte,46930,24856.877,1054255,77442,40538,436344,319235
1100114,Jaru,RO,Norte,51469,2944.128,1764718,280711,177623,688455,379860
1100122,Ji-Paraná,RO,Norte,131026,6896.649,4230355,206345,502238,1926052,876139
1100130,Machadinho D'Oeste,RO,Norte,41724,8509.27,890319,352193,34663,174794,275753
1100148,Nova Brasilândia D'Oeste,RO,Norte,20504,1703.008,549853,228451,25505,114551,142582
1100155,Ouro Preto do Oeste,RO,Norte,35445,1969.85,986046,216209,71311,352572,249016
1100189,Pimenta Bueno,RO,Norte,37098,6241.016,1642621,297492,207693,550816,280779
1100205,Porto Velho,RO,Norte,548952,34090.952,20056138,1041285,4625035,7555290,3983359
1100254,Presidente Médici,RO,Norte,18165,1758.465,560210,183438,50710,140128,134437
1100262,Rio Crespo,RO,Norte,3843,1717.64,184428,115354,7564,18756,36557
1100288,Rolim de Moura,RO,Norte,55748,1457.811,1565241,194673,171674,606268,411623
1100296,Santa Luzia D'Oeste,RO,Norte,5942,1197.796,213590,106980,13083,33188,51633
1100304,Vilhena,RO,Norte,104517,11699.15,4215442,674880,369206,1712252,777252
1100320,São Miguel do Guaporé,RO,Norte,23147,7460.117,905341,381639,82318,199588,176034
1100338,Nova Mamoré,RO,Norte,32184,10070.49,742686,344263,21481,129299,214672
1100346,Alvorada D'Oeste,RO,Norte,13807,3029.189,352630,147689,11553,72543,104853
1100379,Alto Alegre dos Parecis,RO,Norte,13268,3958.273,483672,277664,18507,63694,103294
1100403,Alto Paraíso,RO,Norte,22258,2651.822,510740,185477,24384,119576,148951
1100452,Buritis,RO,Norte,41043,3265.809,966556,336953,35156,248229,272916
1100502,Novo Horizonte do Oeste,RO,Norte,8125,843.446,231501,106736,12106,40100,61438
1100601,Cacaulândia,RO,Norte,6307,1961.778,275338,194610,3288,22239,47544
1100700,Campo Novo de Rondônia,RO,Norte,14391,3442.005,369127,204767,15949,32157,105266
1100809,Candeias do Jamari,RO,Norte,28068,6843.868,655569,141452,133643,138507,204882
1100908,Castanheiras,RO,Norte,2923,892.841,99627,56909,2351,8867,28281
1100924,Chupinguaia,RO,Norte,11755,5126.723,468793,224569,44525,70952,102007
1100940,Cujubim,RO,Norte,27131,3863.946,487756,153670,44087,84329,179118
1101005,Governador Jorge Teixeira,RO,Norte,7130,5067.384,239331,146346,5056,22483,57878
1101104,Itapuã do Oeste,RO,Norte,10819,4081.58,209927,65085,14563,39827,79560
1101203,Ministro Andreazza,RO,Norte,9461,798.083,297876,132934,14076,59932,69320
1101302,Mirante da Serra,RO,Norte,10691,1191.875,262627,85084,14248,71351,75075
1101401,Monte Negro,RO,Norte,16158,1931.378,389781,153360,23162,76036,116303
1101435,Nova União,RO,Norte,6822,807.125,157321,82596,3240,16675,48987
1101450,Parecis,RO,Norte,6319,2548.683,155430,85286,3441,13907,47707
1101468,Pimenteiras do Oeste,RO,Norte,2127,6014.733,246209,178073,8909,24663,26359
1101476,Primavera de Rondônia,RO,Norte,2697,605.692,107030,62242,2158,10663,28333
1101484,São Felipe D'Oeste,RO,Norte,4962,541.647,130675,62311,3163,18618,40952
1101492,São Francisco do Guaporé,RO,Norte,21088,10948.593,488141,203490,17335,95719,142430
1101500,Seringueiras,RO,Norte,11846,3773.505,332986,147309,11108,61163,89980
1101559,Teixeirópolis,RO,Norte,4160,459.978,121304,62959,3839,15260,34222
1101609,Theobroma,RO,Norte,10348,2197.413,257436,140069,5760,23489,79582
1101708,Urupá,RO,Norte,11081,831.857,273505,110938,9244,54174,85571
1101757,Vale do Anari,RO,Norte,11545,3135.106,220948,93455,6693,27970,84100
1101807,Vale do Paraíso,RO,Norte,6490,965.676,185648,100039,4130,20871,53871
1200013,Acrelândia,AC,Norte,15721,1811.613,398725,157858,13439,91389,114911
1200054,Assis Brasil,AC,Norte,7649,4979.073,133916,44810,3944,20601,61986
1200104,Brasiléia,AC,Norte,27123,3928.174,685636,185724,45440,171335,203112
1200138,Bujari,AC,Norte,10572,3034.869,300830,168856,8391,36998,81806
1200179,Capixaba,AC,Norte,12280,1705.824,512353,342298,13142,52997,94528
1200203,Cruzeiro do Sul,AC,Norte,89760,8783.47,2058630,100357,167725,900140,696402
1200252,Epitaciolândia,AC,Norte,18979,1652.674,644542,160895,22540,246925,143215
1200302,Feijó,AC,Norte,34986,27976.874,567040,172858,24431,103190,248872
1200328,Jordão,AC,Norte,8628,5357.227,113975,21977,2460,14031,73684
1200336,Mâncio Lima,AC,Norte,19643,5451.617,269205,53381,13659,48626,147682
1200344,Manoel Urbano,AC,Norte,9701,10630.6,184904,55704,11432,33663,74979
1200351,Marechal Thaumaturgo,AC,Norte,19727,8190.953,256865,56419,5964,29458,161583
1200385,Plácido de Castro,AC,Norte,20147,1952.555,601471,309366,17444,98405,149486
