cod_uf,uf,regiao,ano,pib_mil_reais
11,Rondônia,Norte,2002,7467630
11,Rondônia,Norte,2003,9425010
11,Rondônia,Norte,2004,11004641
11,Rondônia,Norte,2005,12511821
11,Rondônia,Norte,2006,13054713
11,Rondônia,Norte,2007,14438376
11,Rondônia,Norte,2008,17285542
11,Rondônia,Norte,2009,19725010
11,Rondônia,Norte,2010,23907887
11,Rondônia,Norte,2011,27574714
11,Rondônia,Norte,2012,30112720
11,Rondônia,Norte,2013,31121413
11,Rondônia,Norte,2014,34030982
11,Rondônia,Norte,2015,36563333
11,Rondônia,Norte,2016,39460359
11,Rondônia,Norte,2017,43516147
11,Rondônia,Norte,2018,44913978
11,Rondônia,Norte,2019,47091336
11,Rondônia,Norte,2020,51598741
11,Rondônia,Norte,2021,58170096
11,Rondônia,Norte,2022,66795454
11,Rondônia,Norte,2023,76456179
12,Acre,Norte,2002,2971301
12,Acre,Norte,2003,3377234
12,Acre,Norte,2004,3784003
12,Acre,Norte,2005,4300581
12,Acre,Norte,2006,4661807
12,Acre,Norte,2007,5458172
12,Acre,Norte,2008,6410255
12,Acre,Norte,2009,7407821
12,Acre,Norte,2010,8342356
12,Acre,Norte,2011,8949434
12,Acre,Norte,2012,10137925
12,Acre,Norte,2013,11473930
12,Acre,Norte,2014,13458698
12,Acre,Norte,2015,13622802
12,Acre,Norte,2016,13754240
12,Acre,Norte,2017,14272941
12,Acre,Norte,2018,15331123
12,Acre,Norte,2019,15630017
12,Acre,Norte,2020,16476371
12,Acre,Norte,2021,21374440
12,Acre,Norte,2022,23676136
12,Acre,Norte,2023,26291321
13,Amazonas,Norte,2002,22093338
13,Amazonas,Norte,2003,25862134
13,Amazonas,Norte,2004,31090696
13,Amazonas,Norte,2005,33980877
13,Amazonas,Norte,2006,39933213
13,Amazonas,Norte,2007,43479773
13,Amazonas,Norte,2008,48115265
13,Amazonas,Norte,2009,50559840
13,Amazonas,Norte,2010,60877123
13,Amazonas,Norte,2011,70734401
13,Amazonas,Norte,2012,72242701
13,Amazonas,Norte,2013,83051233
13,Amazonas,Norte,2014,86668644
13,Amazonas,Norte,2015,86568184
13,Amazonas,Norte,2016,89039782
13,Amazonas,Norte,2017,93240191
13,Amazonas,Norte,2018,100109235
13,Amazonas,Norte,2019,108181091
13,Amazonas,Norte,2020,116019139
13,Amazonas,Norte,2021,131531038
13,Amazonas,Norte,2022,145140465
13,Amazonas,Norte,2023,161794976
14,Roraima,Norte,2002,2392033
14,Roraima,Norte,2003,2594081
14,Roraima,Norte,2004,2822757
14,Roraima,Norte,2005,3193430
14,Roraima,Norte,2006,3802452
14,Roraima,Norte,2007,4203302
14,Roraima,Norte,2008,4841862
14,Roraima,Norte,2009,5671975
14,Roraima,Norte,2010,6639150
14,Roraima,Norte,2011,7303719
14,Roraima,Norte,2012,7711467
14,Roraima,Norte,2013,9010725
14,Roraima,Norte,2014,9744122
14,Roraima,Norte,2015,10242905
14,Roraima,Norte,2016,11013237
14,Roraima,Norte,2017,12104709
14,Roraima,Norte,2018,13369988
14,Roraima,Norte,2019,14292227
14,Roraima,Norte,2020,16024276
14,Roraima,Norte,2021,18202579
14,Roraima,Norte,2022,21095342
14,Roraima,Norte,2023,25124805
15,Pará,Norte,2002,26482159
15,Pará,Norte,2003,30270152
15,Pará,Norte,2004,37272726
15,Pará,Norte,2005,40522893
15,Pará,Norte,2006,45983027
15,Pará,Norte,2007,51846876
15,Pará,Norte,2008,60956978
15,Pará,Norte,2009,61665096
15,Pará,Norte,2010,82684518
15,Pará,Norte,2011,98710736
15,Pará,Norte,2012,107080881
15,Pará,Norte,2013,121224847
15,Pará,Norte,2014,124584945
15,Pará,Norte,2015,130899505
15,Pará,Norte,2016,138107514
15,Pará,Norte,2017,155232404
15,Pará,Norte,2018,161349602
15,Pará,Norte,2019,178376984
15,Pará,Norte,2020,215935604
15,Pará,Norte,2021,262904979
15,Pará,Norte,2022,236141874
15,Pará,Norte,2023,254546511
16,Amapá,Norte,2002,3173343
16,Amapá,Norte,2003,3413195
16,Amapá,Norte,2004,3824740
16,Amapá,Norte,2005,4306410
16,Amapá,Norte,2006,5280822
16,Amapá,Norte,2007,6012523
16,Amapá,Norte,2008,6950413
16,Amapá,Norte,2009,7490656
16,Amapá,Norte,2010,8237795
16,Amapá,Norte,2011,9409228
16,Amapá,Norte,2012,11130868
16,Amapá,Norte,2013,12763486
16,Amapá,Norte,2014,13400284
16,Amapá,Norte,2015,13861293
16,Amapá,Norte,2016,14342135
16,Amapá,Norte,2017,15481908
16,Amapá,Norte,2018,16795207
16,Amapá,Norte,2019,17496661
16,Amapá,Norte,2020,18469115
16,Amapá,Norte,2021,20099851
16,Amapá,Norte,2022,23614291
16,Amapá,Norte,2023,28020120
17,Tocantins,Norte,2002,5322563
17,Tocantins,Norte,2003,6612339
17,Tocantins,Norte,2004,7251580
17,Tocantins,Norte,2005,7707340
17,Tocantins,Norte,2006,8655613
17,Tocantins,Norte,2007,10192844
17,Tocantins,Norte,2008,12116393
17,Tocantins,Norte,2009,13689804
17,Tocantins,Norte,2010,16404816
17,Tocantins,Norte,2011,18345688
17,Tocantins,Norte,2012,20684430
17,Tocantins,Norte,2013,23796656
17,Tocantins,Norte,2014,26189323
17,Tocantins,Norte,2015,28930291
